a	一个
amenable	顺从的
amenableness	顺从
amend	修改
amendable	可修改的
amendment	修正案
amenity	舒适
amenorrhea	闭经
ament	疯病
amentia	精神错乱
amerce	罚款
amercement	罚款
america	美国
american	美国人
americanism	美国主义
americanize	美国化
americium	锕
amerind	美洲印第安人
amerindian	美洲印第安人
amethopterin	氨甲喋呤
amethyst	紫水晶
ametropia	屈光不正
amia	鳗鱼
amiability	和蔼
amiable	和蔼的
amiableness	和蔼
amiably	和蔼地
amicability	友好
amicable	友好的
amicableness	友好
amicably	友好地
amid	在...中间
amide	酰胺
amidships	船中央
amidst	在...之中
amigo	朋友
amine	胺
aminoaciduria	氨基酸尿症
aminophylline	氨茶碱
aminopyrine	氨基比林
aminotransferase	氨基转移酶
amir	阿米尔
amiss	错误的
amitriptyline	阿米替林
amity	友好
amman	安曼
ammeter	安培计
ammine	配位化合物
ammo	弹药
ammonia	氨
ammoniac	氨气
ammoniate	与氨结合
ammonification	氨化作用
ammonify	使成为氨
ammonite	菊石
ammonium	铵
ammonoid	菊石类动物
ammunition	弹药
amnesia	健忘症
amnesiac	健忘者
amnesic	造成健忘的
amnesty	大赦
amnio	羊膜
amniocentesis	羊膜穿刺术
amnion	羊膜
amniote	羊膜动物
amobarbital	阿莫巴比妥
amoeba	阿米巴
amoebic	阿米巴的
amok	狂暴的
among	在...之中
amongst	在...之中
amontillado	阿蒙蒂亚多酒
amora	阿莫拉
amoral	无道德的
amoralism	无道德主义
amoralist	无道德者
amorality	无道德
amorally	无道德地
amorist	情人
amorous	多情的
amorously	多情地
amorousness	多情
amorphous	无定形的
amorphously	无定形地
amorphousness	无定形
amortization	分期偿还
amortize	分期偿还
amount	数量
amour	爱情
amoxicillin	阿莫西林
amp	安培
amperage	安培数
ampere	安培
ampersand	&符号
amphetamine	安非他命
amphibian	两栖动物
amphibious	水陆两用的
amphibole	闪石
amphibolite	闪长岩
amphibology	模棱两可的话
amphiboly	歧义
amphibrach	弱强弱格
amphictyony	古希腊城邦联盟
amphidiploid	两倍体的
amphidiploidy	两倍体
amphigory	荒诞无稽的故事
amphimixis	杂交
amphioxus	蛤蟆鱼
amphipod	两栖动物
amphisbaena	双头蛇
amphitheater	圆形露天剧场
amphitheatre	圆形露天剧场
amphora	两耳瓶
ampicillin	氨苄青霉素
ample	充足的
ampleness	宽敞
amplification	放大
amplifier	放大器
amplify	放大
amplitude	幅度
amply	充足地
ampoule	安瓿
ampul	安瓿
ampule	安瓿
ampulla	小瓶
amputate	截肢
amputation	截肢
amputator	截肢者
amputee	截肢者
amuck	狂暴的
amulet	护身符
amuse	娱乐
amusement	娱乐
amusingly	有趣地
amygdala	杏仁核
amygdalin	杏仁苷
amygdaloid	杏仁状的
amyl	淀粉
amylase	淀粉酶
amyloid	淀粉样的
amylum	淀粉质
amyotonia	肌张力减退
amyotrophy	肌萎缩
amytal	安眠药
anabaptism	再洗礼派
anabaptist	再洗礼派教徒
anabolism	合成代谢
anacardium	腰果
anachronism	时代错误
anachronistic	时代错误的
anacoluthia	语法断裂
anacoluthon	语法断裂
anaconda	蟒蛇
anaemia	贫血
anaemic	贫血的
anaerobe	厌氧菌
anaerobic	厌氧的
anaesthesia	麻醉
anaesthetic	麻醉剂
anaesthetist	麻醉师
anaesthetize	麻醉
anaglyph	立体图像
anagoge	上升
anagram	反义词
anagrammatize	重新排列字母
anal	肛门的
analeptic	兴奋剂
analgesia	麻醉
analgesic	镇痛剂
analog	类似物
analogist	类比者
analogize	类比
analogous	类似的
analogously	类似地
analogue	类似物
analogy	类比
analphabet	文盲
analphabetic	文盲的
analphabetism	文盲现象
analysand	分析对象
analyse	分析
analysis	分析
analyst	分析师
analytic	分析的
analytical	分析的
analyticalally	分析地
analytically	分析地
analyticity	解析性
analyze	分析
analyzer	分析仪
anamnesis	病史
anamorphosis	变形
ananas	菠萝
anapest	无节奏三音步诗
anaphase	后期
anaphor	代词
anaphora	重复
anaphrodisia	无性
anaplasia	质变
anaplasty	整形手术
anarchic	无政府主义的
anarchically	无政府主义地
anarchism	无政府主义
anarchist	无政府主义者
anarchistic	无政府主义的
anarchy	无政府状态
anarthria	失语症
anasarca	全身性水肿
anastigmat	散光
anastomose	吻合
anastomosis	吻合
anastrophe	倒装
anathema	诅咒
anathematization	诅咒
anathematize	诅咒
anatomic	解剖学的
anatomical	解剖学的
anatomically	解剖学地
anatomist	解剖学家
anatomize	解剖
anatomy	解剖学
anatoxin	毒素
ancestor	祖先
ancestral	祖先的
ancestress	女祖先
ancestry	家族
anchor	锚
anchorage	锚地
anchorite	隐士
anchorman	新闻主播
anchorpeople	新闻主播
anchorperson	新闻主播
anchorwoman	主播女性
anchorwomen	主播女性
anchovy	凤尾鱼
anchusa	紫草
ancient	古代的
ancientness	古老
ancillaries	辅助物品
ancillary	辅助的
and	和
andante	行板
andesite	安山岩
andiron	炉架
andradite	钙铁榴石
androecium	雄蕊
androgen	雄激素
androgyne	雌雄同体
androgynous	雌雄同体的
androgyny	雌雄同体
android	安卓
andromeda	仙女座
androsterone	雄甾酮
anecdota	随笔
anecdotal	轶事的
anecdote	轶事
anecdotist	轶事作家
anele	用油膏涂抹
anemia	贫血
anemic	贫血的
anemography	风力测量
anemometer	风速计
anemometry	风速测量
anemone	银莲花
anencephalia	无脑畸形
anencephaly	无脑畸形
anergy	免疫耐受
aneroid	无液压的
anesthesia	麻醉
anesthesiologist	麻醉师
anesthesiology	麻醉学
anesthetic	麻醉剂
anesthetist	麻醉师
anesthetize	麻醉
anestrus	无发情期
aneuploidy	常染色体异常
aneurin	维生素B1
aneurism	动脉瘤
aneurysm	动脉瘤
anew	重新
angel	天使
angelfish	神仙鱼
angelic	天使般的
angelica	当归
angelically	天使般地
angelology	天使学
angelus	晚祷
anger	愤怒
angina	心绞痛
angiogram	血管造影
angiography	血管造影术
angiology	血管学
angioma	血管瘤
angiopathy	血管病
angioplasty	血管成形术
angiosarcoma	血管肉瘤
angiosperm	被子植物
angiotensin	肾素
angle	角度
angledozer	推土机
angler	钓鱼者
anglerfish	深海鱼
angleworm	蚯蚓
anglian	盎格鲁人
anglican	英国国教会的
anglicanism	英国国教
anglicism	英语习惯用语
anglicization	英国化
anglicize	英国化
angling	钓鱼
anglomania	英国狂热
anglophil	亲英的
anglophile	亲英者
anglophilia	亲英情结
anglophobe	反英者
anglophobia	反英情结
angolan	安哥拉的
angora	安哥拉山羊毛
angostura	苦艾酒
angrily	愤怒地
angriness	愤怒
angry	生气的
angst	焦虑
angstrom	埃斯特朗
anguish	痛苦
angular	有角的
angularity	角度
angulate	有角的
angulation	角度
angus	安格斯牛
angwantibo	安瓜比树懒
anhedonia	心境淡漠
anhinga	鹭鸟
anhydride	酸酐
ani	鹟
anil	阿尼尔
anile	衰老的
aniline	苯胺
anima	灵魂
animadversion	批评
animadvert	批评
animal	动物
animalcule	微生物
animalculum	微生物
animalism	动物主义
animality	兽性
animalization	动物化
animalize	动物化
animate	活跃的
animatedly	活泼地
animateness	活泼
animation	动画
animatism	灵魂崇拜
animator	动画师
anime	动漫
animism	灵魂崇拜
animist	灵魂崇拜者
animistic	灵魂崇拜的
animize	动画化
animosity	敌意
animus	敌意
anion	阴离子
anionic	阴离子的
anise	茴香
aniseed	茴香籽
aniseikonia	异视
anisette	茴香酒
anisogamete	异配子
anisogamy	异配子
anisometropia	异视
anisotropy	各向异性
ankh	埃及十字
ankhs	埃及十字
ankle	脚踝
anklebone	踝骨
anklet	脚链
ankus	长棍
ankylosaur	装甲龙
ankylosaurus	装甲龙
ankylose	关节僵硬
anlage	原基
anna	安娜
annalist	编史家
annals	编年史
anneal	退火
annealing	退火处理
annelid	环节动物
annex	附加
annexation	兼并
annihilate	消灭
annihilation	消灭
annihilator	消灭者
anniversary	周年纪念日
annona	番荔枝
annotate	注释
annotation	注释
annotator	注释者
announce	宣布
announcement	公告
announcer	播音员
annoy	打扰
annoyance	烦恼
annoyer	打扰者
annoyingly	令人烦恼地
annual	年度的
annually	每年
annuitant	年金领取人
annuity	年金
annul	废除
annular	环形的
annulet	小环
annulment	废除
annulus	环状物
annunciate	宣布
annunciation	宣布
annunciator	报警器
anoa	小型水牛
anode	阳极
anodize	阳极氧化
anodyne	止痛药
anoint	涂油
anointer	涂油者
anointment	涂油剂
anole	鬣蜥
anomalous	不规则的
anomalousness	不规则
anomaly	异常
anomia	失名症
anon	不久之后
anons	不久之后
anonym	匿名者
anonymity	匿名性
anonymous	匿名的
anonymously	匿名地
anopheles	按蚊
anopheline	按蚊的
anopia	失明
anorak	防寒外套
anorectic	厌食的
anorexia	厌食症
anorexic	厌食症的
anorthite	斜长石
anosmia	失嗅症
another	另一个
anovulant	避孕药
anovulation	无排卵
anoxemia	低氧血症
anoxia	无氧
answer	回答
answerability	负责回答
answerable	可回答的
answerableness	可回答性
answerer	回答者
ant	蚂蚁
antacid	抗酸药
antagonism	对抗
antagonist	对抗剂
antagonistic	对抗的
antagonistically	对抗地
antagonize	对抗
antapex	反顶点
antarctic	南极的
antbird	蚁鸟
ante	下注
anteater	食蚁兽
antebellum	战前的
antecede	先于
antecedence	先行
antecedency	先行
antecedent	先行者
antechamber	前厅
antedate	提前日期
antediluvian	洪水前的
antefix	瓦楞
antelope	羚羊
antenna	天线
antepenult	倒数第二音节
antepenultima	倒数第二音节
antepenultimate	倒数第二的
anterior	前面的
anteriority	前位
anteroom	门厅
anthelminthic	驱虫药
anthelmintic	驱虫药
anthem	国歌
anther	花药
antheridium	雄性蕨类植物配子体
antherozoid	鞭毛虫配子体
anthill	蚂蚁窝
anthologist	文集编纂者
anthologize	编入选集
anthology	选集
anthophyllite	花岗角闪石
anthozoan	珊瑚动物
anthracite	无烟煤
anthrax	炭疽病
anthropocentric	人类中心主义的
anthropocentricity	人类中心主义
anthropocentrism	人类中心主义
anthropogeny	人类发生史
anthropoid	类人猿的
anthropolatry	人类崇拜
anthropological	人类学的
anthropologist	人类学家
anthropology	人类学
anthropometry	人体测量学
anthropomorphic	拟人化的
anthropomorphism	拟人主义
anthropomorphize	拟人化
anthropophagite	食人者
anthropophagy	食人
anthroposophy	人智学
anthurium	安芬芋
anti	反对
antiabortion	反堕胎的
antiaircraft	防空的
antialiasing	抗锯齿
antiarrhythmic	抗心律失常的
antibacterial	抗菌的
antibaryon	反重子
antibiotic	抗生素
antibody	抗体
antic	滑稽可笑的
anticatalyst	抑制剂
anticholinergic	抗胆碱药
anticholinesterase	抗胆碱酯酶
anticipant	预期的
anticipate	预期
anticipation	预期
anticipator	预期者
anticipatory	预期的
anticked	感到高兴的
anticking	反戏
anticlimactic	平淡无奇的
anticlimax	令人扫兴的结局
anticlockwise	逆时针方向的
anticoagulant	抗凝剂
anticonvulsant	抗癫痫药物
anticyclone	反气旋
antidepressant	抗抑郁药物
antidiabetic	抗糖尿病的
antidiarrheal	止泻药
antidiuretic	抗利尿的
antidote	解毒剂
antielectron	反电子
antiemetic	止吐药
antiepileptic	抗癫痫的
antiestablishmentarianism	反建制主义
antifeminism	反女权主义
antifeminist	反女权主义者
antiferromagnetism	反铁磁性
antifreeze	防冻剂
antifungal	抗真菌的
antigen	抗原
antihero	反英雄
antihistamine	抗组胺药
antihypertensive	降压药
antiknock	抗爆剂
antilepton	反轻子
antilog	反对数
antilogarithm	反对数
antimacassar	沙发套
antimalarial	抗疟药
antimatter	反物质
antimetabolite	抗代谢物
antimicrobial	抗微生物的
antimony	锑
antimycin	抗霉素
antineoplastic	抗肿瘤的
antineutrino	反中微子
antineutron	反中子
antinode	波腹
antinomian	反律法主义者
antinomianism	反律法主义
antinomy	自相矛盾
antioxidant	抗氧化剂
antiparticle	反粒子
antipasti	开胃菜
antipasto	开胃菜
antipathetic	反感的
antipathy	反感
antipersonnel	反人员的
antiperspirant	防汗剂
antiphon	唱和诗
antiphonal	唱和的
antiphonary	唱和集
antiphony	唱和
antipodal	对脚的
antipode	对脚
antipope	反教皇
antiproton	反质子
antipruritic	止痒的
antipsychotic	抗精神病的
antipyretic	退烧的
antiquarian	古文物研究者
antiquark	反夸克
antiquary	古董商
antiquate	废弃
antique	古董
antiquity	古代
antirrhinum	龙葵
antiseptic	杀菌剂
antiseptically	杀菌地
antisepticize	使无菌
antiserum	抗血清
antislavery	反奴隶制的
antisocial	反社会的
antispasmodic	镇痉剂
antistrophe	反转
antisyphilitic	抗梅毒的
antithesis	对立面
antithetical	对立的
antithetically	对立地
antitoxin	抗毒素
antitrade	反对贸易的
antitrust	反垄断的
antitussive	止咳的
antitype	原型
antivenene	抗蛇毒血清
antivenin	抗毒素
antiviral	抗病毒的
antiwar	反战的
antler	鹿角
antlered	有鹿角的
antlion	蚁狮
antonym	反义词
antonymy	反义
antrum	洞房
anuran	无尾两栖动物
anuria	无尿
anus	肛门
anvil	铁砧
anxiety	焦虑
anxiolytic	抗焦虑药
anxious	焦虑的
anxiously	焦虑地
anxiousness	焦虑感
any	任何
anybodies	任何人的
anybody	任何人
anyhow	无论如何
anymore	不再
anyone	任何人
anyplace	任何地方
anything	任何事物
anythings	任何事物的
anytime	任何时候
anyway	无论如何
anywhere	任何地方
aorist	瞬间式
aorta	主动脉
aortitis	主动脉炎
aoudad	阿尔及利亚野羊
apace	快速地
apache	阿帕奇人
apadana	阿巴达纳
apart	分开
apartheid	种族隔离
apartment	公寓
apathetic	冷漠的
apathetically	冷漠地
apathy	冷漠
apatite	磷灰石
apatosaurus	阿帕托龙
ape	猿
aper	模仿者
apercu	简介
aperient	通便药
aperitif	开胃酒
aperture	孔径
apery	模仿
apex	顶点
aphagia	咽喉病
aphakia	无晶状体
aphanite	隐晶岩
aphasia	失语症
aphasic	失语的
aphelion	远日点
aphid	蚜虫
aphis	蚜虫
aphonia	失音
aphorism	格言
aphorist	格言家
aphoristic	格言的
aphorize	写格言
aphrodisia	情欲
aphrodisiac	催情药
aphrodite	阿佛洛狄忒
apiarist	养蜂人
apiary	蜂房
apiculture	养蜂业
apiculturist	养蜂专家
apiece	每个
aplasia	发育不全
aplenty	充足的
aplite	英安岩
aplomb	沉着
apnea	呼吸暂停
apocalypse	启示
apocalyptic	启示的
apocope	缩略
apocryphal	伪经的
apoenzyme	辅酶
apogamy	非性繁殖
apogee	远地点
apolitical	不关心政治的
apollo	阿波罗
apologetic	道歉的
apologetically	道歉地
apologia	辩护
apologist	辩护者
apologize	道歉
apologue	寓言
apology	道歉
apolune	远月点
apomict	无配子生殖植物
apomixis	无配子生殖
apomorphine	吗啡半乳碱
aponeurosis	腱膜
apophthegm	警句
apophysis	突起
apoplectic	中风的
apoplexy	中风
aposiopesis	省略
apostasy	背叛
apostate	背教者
apostatize	背教
apostle	使徒
apostleship	使徒的身份
apostolic	使徒的
apostrophe	撇号
apostrophize	使用省略符号
apothecary	药剂师
apothecium	子囊
apothegm	格言
apotheose	神化
apotheosis	神化
apotheosize	神化
appal	使惊恐
appalachian	阿巴拉契亚
appall	使惊恐
appallingly	令人震惊地
appaloosa	阿帕卢萨马
appanage	附属物
apparatchik	党务工作者
apparatus	设备
apparel	服装
apparelled	穿着
apparelling	穿着
apparency	明显
apparent	明显的
apparently	显然地
apparentness	明显性
apparition	幽灵
appeal	呼吁
appealingness	吸引力
appear	出现
appearance	外貌
appease	安抚
appeasement	安抚
appeaser	安抚者
appellant	上诉人
appellate	上诉的
appellation	名称
appellative	名称的
append	附加
appendage	附属物
appendectomy	阑尾切除术
appendicectomy	阑尾切除术
appendicitis	阑尾炎
appendicle	附属物
appendix	附录
apperceive	感知
apperception	感知
appertain	属于
appetence	欲望
appetency	欲望
appetite	食欲
appetizer	开胃菜
appetizing	开胃的
appetizingly	开胃地
applaud	鼓掌
applauder	鼓掌者
applause	掌声
apple	苹果
applecart	苹果车
applejack	苹果白兰地
applesauce	苹果酱
applet	小应用程序
appliance	家用电器
applicability	适用性
applicable	适用的
applicant	申请人
application	应用
applicator	涂布器
applier	申请人
applique	缝贴图案
apply	应用
appoggiatura	装饰音
appoint	任命
appointee	被任命者
appointment	约会
apportion	分配
apportionment	分配
appose	相对
apposite	恰当的
appositely	恰当地
appositeness	恰当性
apposition	同位
appositive	同位语
appositives	同位语
appraisal	评价
appraise	评估
appraiser	评估人
appreciable	可感知的
appreciably	明显地
appreciate	欣赏
